"Argentina","2020-03-16"
"Bolivia","2020-03-18"
"Brazil","2020-03-19"
"Chile","2020-03-18"
"Colombia","2020-03-16"
"Ecuador","2020-03-16"
"Guyana","2020-03-18"
"Paraguay","2020-03-14"
"Peru","2020-03-16"
"Suriname","2020-03-14"
"Uruguay","2020-03-20"
"Venezuela","2020-03-12"
